name_en	name_mm
Nat Sin (No 2 Main Road)	နတ်စင် (အမှတ်(၂)လမ်းမ)
Ball Lone Kwin Htate	ဘောလုံးကွင်းထိပ်
Lay Htaut Kan Site Kwae (No 2 Road)	လေးထောင့်ကန်ဆိုက်ကွေ့ (အမှတ်(၂)လမ်း)
Gate Haung (South Dagon)	ဂိတ်ဟောင်း (တ/ဒဂုံ)
Sal Zay (TharKayTa)	၁၀ စျေး (သာကေတ)
MiBa Yate	မိဘရိပ်
Sae-hnat-lone-Tan (YanKin Road)	၁၂ လုံးတန်း (ရန်ကင်းလမ်း)
Tha Ma Sine (Lay Htaut Kan)	သမဆိုင် (လေးထောင့်ကန်)
Mote Pho (No 2 Road)	မုန့်ဖို (အမှတ်(၂)လမ်း)
Palae Ngar	ပုလဲငါး
Kyaung Shae (No 2 Road)	ကျောင်းရှေ့ (အမှတ်(၂)လမ်း)
Nyaung 2 Pin	ညောင်(၂)ပင်
Kone Padaythar (North Dagon)	ကုန်ပဒေသာ (မ/ဒဂုံ)
Ywar Thar Gyi Lai Sin Yone	ရွာသာကြီးလိုင်စင်ရုံး
Nandawun Zay	နန္ဒဝန်စျေး
U Htun Myat	ဦးထွန်းမြတ်
Sae-Hnit Thama	(၁၂) သမ
Kwin Sin Kyaung	ကွင်းဆင်းကျောင်း
Sanpya Zay (Lay Htaut Kan Road)	စံပြစျေး (လေးထောင့်ကန်လမ်း)
West Yangon Technology University	အနောက်ပိုင်းနည်းပညာတက္ကသိုလ်
Taung Myout Lan Sone (No 2 Road)	တောင်မြောက်လမ်းဆုံ (အမှတ်(၂)လမ်း)
Yuzan A Wine Htake (ShweLi Road-Dagon SateKan) Container Gate (Old Name)	ယုဇန အဝိုင်းထိပ် (ရွှေလီလမ်း - ဒဂုံဆိပ်ကမ်း) ကွန်တိန်နာဂိတ် (နာမည်ဟောင်း)
Nawaday (KaBarAye Road)	နဝဒေး (ကမ္ဘာအေးလမ်း)
Dhamar Yone (ShuKhinThar Road)	ဓမ္မာရုံ (ရှုခင်းသာလမ်း)
Container Gate (Dagon SateKan)	ကွန်တိန်နာဂိတ် (ဒဂုံဆိပ်ကမ်း)
Tayar-Chauk Tat Yin	(၁၀၆) တပ်ရင်း
Lan Wa	လမ်းဝ
Yadanar Lan Sone (Dagon SateKan)	ရတနာလမ်းဆုံ (ဒဂုံဆိပ်ကမ်း)
Thein Kyaung Lan Sone (AyarWunSanSat Road)	သိမ်ကျောင်းလမ်းဆုံ (ဧရာဝဏ်ဆက်စပ်လမ်း)
Tit Gate	(၁) ဂိတ်
Pale Kan	ပုလဲကန်
B.M Gate (South Dagon)	ဘီအမ်ဂိတ် (တ/ဒဂုံ)
Japan Lan	ဂျပန်လမ်း
Min Kun Zay	မင်းကွန်းစျေး
Htan Pin Kone	ထန်းပင်ကုန်း
Tayar-Chauk (KhaYayPin Road)	၁၀၆ (ခရေပင်လမ်း)
Tayar-Chauk (KaBarAye)	၁၀၆ (ကမ္ဘာအေး)
